GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
etudiant-backend,com.openclassrooms.etudiant,EtudiantBackendApplication,5,3,0,0,2,1,1,1,1,1
etudiant-backend,com.openclassrooms.etudiant.mapper,UserDtoMapperImpl,2,27,1,1,1,8,1,2,0,2
etudiant-backend,com.openclassrooms.etudiant.mapper,StudentDtoMapperImpl,4,58,2,2,2,16,2,3,0,3
etudiant-backend,com.openclassrooms.etudiant.controller,StudentController,0,64,0,0,0,11,0,5,0,5
etudiant-backend,com.openclassrooms.etudiant.controller,UserController,0,26,0,0,0,4,0,2,0,2
etudiant-backend,com.openclassrooms.etudiant.handler,RestExceptionHandler,45,52,0,0,6,8,3,5,3,5
etudiant-backend,com.openclassrooms.etudiant.configuration,AppConfig,0,15,0,0,0,4,0,2,0,2
etudiant-backend,com.openclassrooms.etudiant.configuration.logging,RequestLoggingFilterConfig,0,24,0,0,0,8,0,2,0,2
etudiant-backend,com.openclassrooms.etudiant.service,JwtService,0,82,1,3,0,22,1,8,0,7
etudiant-backend,com.openclassrooms.etudiant.service,StudentService,0,107,0,4,0,20,0,10,0,8
etudiant-backend,com.openclassrooms.etudiant.service,UserService,0,88,0,6,0,20,0,6,0,3
etudiant-backend,com.openclassrooms.etudiant.entities,User,8,5,0,0,4,2,4,2,4,2
etudiant-backend,com.openclassrooms.etudiant.exception,StudentNotFoundException,0,5,0,0,0,2,0,1,0,1
etudiant-backend,com.openclassrooms.etudiant.configuration.security,SpringSecurityConfig,0,91,0,0,0,21,0,9,0,9
etudiant-backend,com.openclassrooms.etudiant.configuration.security,JwtAuthenticationFilter,1,63,3,5,1,16,3,2,0,1
etudiant-backend,com.openclassrooms.etudiant.configuration.security,CustomUserDetailService,6,9,0,0,0,2,1,1,1,1
